"X1","X2","X3","X4","X5","X6","X7","X8","Y"
0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,1
0.77,0.82,0.4,0.36,0.5,0,0.38,0.22,1
0.84,0.87,0.45,0.54,0.5,0,0.28,0.22,1
0.76,0.76,0.35,0.27,0.5,0,0.44,0.22,1
0.77,0.7,0.44,0.29,0.5,0,0.56,0.22,1
0.74,0.73,0.32,0.2,0.5,0,0.55,0.22,1
0.73,0.83,0.43,0.3,0.5,0,0.55,0.22,1
0.74,0.89,0.32,0.24,0.5,0,0.54,0.32,1
0.77,0.78,0.27,0.37,0.5,0,0.49,0.22,1
0.94,0.6,0.33,0.49,0.5,0,0.54,0.22,0
0.81,0.76,0.32,0.37,0.5,0,0.51,0.22,0
0.74,0.82,0.46,0.24,0.5,0,0.5,0.31,0
0.71,0.51,0.49,0.23,0.5,0,0.3,0.32,0
0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,0
0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,0
0.74,0.74,0.51,0.27,0.5,0,0.5,0.22,0
0.74,0.71,0.52,0.3,0.5,0,0.27,0.22,0
0.77,0.73,0.49,0.46,0.5,0,0.38,0.22,0
0.83,0.81,0.45,0.38,0.5,0,0.4,0.26,0
0.66,0.65,0.54,0.4,0.5,0,0.51,0.22,0
0.76,0.74,0.56,0.34,0.5,0,0.51,0.3,0
0.36,0.34,0.46,0.19,0.5,0,0.52,0.22,0
0.46,0.42,0.6,0.21,0.5,0,0.4,0.22,0
0.76,0.67,0.37,0.22,0.5,0,0.54,0.22,0
0.77,0.73,0.51,0.27,0.5,0,0.34,0.22,0
0.49,0.39,0.52,0.29,0.5,0,0.48,0.22,0
